Country_EN	Country_ZGH
Abkhazia	abxazia
Afghanistan	afġanistan
Albania	albania
Algeria	dzayar
Andorra	andura
Angola	anġula
Antigua and Barbuda	antigwa
Argentina	l'alrjantin
Armenia	arminia
Aruba	uruba
Australia	ustralia
Austria	nnamsa
Azerbaijan	azribidjan
Bahamas, The	lbahamas
Bahrain	albHrin
Bangladesh	bnġladiš
Barbados	barbadus
Belarus	bilarusia/rusya al
Belgium	baljika
Belize	baliz
Benin	lbanin
Bhutan	biutan
Bolivia	bulivia
Bosnia and	lbusna wa lhirsik
Botswana	butswana
Brazil	lbarazil
Brunei	brunay
Bulgaria	balġaria
Burkina Faso	burkina fasu
Burundi	burundi
Cambodia	lkambudj
Cameroon	lkamrun
Canada	kanada
Cape Verde	rra's l'axdar
Central African	jumhuriyat ifriqya
Republic	lwuşta
Chad	tšad
Chile	ššili
China	şşin
Colombia	kulumbia
Comoros	juzur lqumur
Congo	lkunġu
Congo, Democratic	jumhuryat lkunġu
Republic of	ddimuqratya
Costa Rica	kusta rika
Cote d'Ivoire	kut divwar/saHil lعaj
Croatia	kruatia
Cuba	kuba
Cyprus	qubrus
Czech Republic	jumhuryat tšik
Denmark	ddanmark
Djibouti	djibuti
Dominica	dduminik
Dominican Republic	jumhuriat dduminik
Ecuador	l'ikwadur
Egypt	mişr
El Salvador	salvadur
Equatoral Guinea	ġinya l'istiwa'iya
Eritrea	aritirya
Estonia	istunia
Ethiopia	ityupia
Fiji	lfiji
Finland	finlanda
France	farnsa
Gabon	lġabun
Gambia, The	ġambia
Georgia	jurjya
Germany	almania
Ghana	ġana
Greece	lyunan
Greenland	grinland
Grenada	karinada
Guatemala	gwatimala
Guinea	ġinya
Guinea-Bissau	ġinya bisaw
Guyana	giyiana
Haiti	hayti
Honduras	alhinduras
Hong Kong	hung kung
Hungary	hanġarya
Iceland	aislanda
India	lhind
Indonesia	andunisia
Iran	iran
Iraq	lعiraq
Ireland	irlanda
Israel	isra'il
Italy	italia
Jamaica	jamayika
Japan	lyaban
Jordan	alurdn
Kazakhstan	kazaxistan
Kenya	kinia
Kiribati	kiribati
Kosovo	kusuvu
Kuwait	lkwit
Kyrgyzstan	kirgistan
Laos	lawus
Latvia	latvia
Lebanon	lubnan
Lesotho	lusuţu
Liberia	libiria
Libya	Libia
Liechtenstein	lišinšţayn
Lithuania	lituaynia
Luxembourg	luksmburg
Macedonia	maqdunia
Madagascar	madaġašqr
Malawi	malawi
Malaysia	malizia
Maldives	maldiv
Mali	mali
Malta	malţa
Marshal Islands	juzur lmaršal
Mauritania	muriţania
Mauritius	maribis
Mexico	lmiksik
Micronesia	mikrunizia
Moldova	mlduva
Monaco	munaku
Mongolia	manġuliya
Solomon Islands	juzur ssulumun
Somalia	şşumal
Somaliland	ard sumal
South Africa	janub afriqia
South Korea	kuria aljnubia
Spain	ispania
Sri Lanka	sirilanka
Sudan	ssudan
Suriname	surinam
Swaziland	swazilanda
Sweden	sswid
Switzerland	swisra
Syria	suria
Tajikstan	tadjakstan
Tanzania	tanzanya
Thailand	ttayland
Timor-Leste	timur-šarqia
Togo	ţţuġu
Tonga	ţunga
Trinidad and Tobago	tarindad wa tubagu
Tunisia	tuns
Uruguay	l'urugway
Uzbekistan	uzbakistan
Vanuatu	vanatu
Vatican City	lvatigan
Venezuela	vinzuila
Vietman	lvitnam
Yemen	lyaman
Zambia	zambia
Zimbabwe	zimbabway
